rank,retailer,query,name,model,category,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
451,ノジマ,パナソニック 冷蔵庫 NR-F,ARBHDB100030 パナソニック 冷蔵庫 用の チルドドア ★ Panasonic,ARBHDB100030,冷蔵庫部品、アクセサリー,5120,3667,,0,5120,5,5120,3000,-2059,-40.21,False,high,5,https://store.shopping.yahoo.co.jp/denkiti/arbhdb100030.html
463,ノジマ,パナソニック ドラム洗濯機 NA-LX,パナソニック Panasonic ドラム式洗濯乾燥機 洗濯12kg 乾燥6kg 左開き マットホワイト NA-LX129EL-W(大型),NA-LX129EL-W,洗濯機本体,326751,289918,148600,17,318707,6,148600,2500,-158678,-106.78,False,high,23,https://store.shopping.yahoo.co.jp/denkichiweb/4550719001547.html
475,ノジマ,ダイキン エアコン AN,2559983 ARC472A34 ダイキン エアコン 用の リモコン ★ DAIKIN 2323514,ARC472A34,エアコン用リモコン,8129,6345,2100,120,2500,20,2100,3000,-7455,-355.0,False,high,140,https://store.shopping.yahoo.co.jp/denkiti/2323514.html
487,ノジマ,ダイソン コードレス掃除機 V15,山崎実業 プレート Plate コードレスクリーナースタンド ホワイト 3559 ダイソン専用 リビング 掃除機 掃除機立て dyson,PLATE,掃除機部品、アクセサリー,10120,8573,5800,120,3000,17,3000,800,-6673,-222.43,False,high,137,https://store.shopping.yahoo.co.jp/assistone/85009098.html
499,ノジマ,シャープ ヘルシオ 電子レンジ,シャープ ウォーターオーブンレンジ ヘルシオ AX-XJ1-W ホワイト系 [30L] SHARP 新生活 プレゼント ギフト 電子レンジ 爆買,AX-XJ1-W,電子レンジ,44800,38982,2940,70,44800,8,2940,800,-37136,-1263.13,False,high,78,https://store.shopping.yahoo.co.jp/emedama/4974019155531.html
511,ノジマ,象印 炊飯器 NW-,WEB限定 炊飯器 5合炊き 圧力IH タイガー  5.5合 炊きたて お手入れ2点 冷凍ご飯 調理 日本製 JPV-N100,JPV-N100,炊飯器本体,39800,34532,21000,8,28160,10,21000,800,-16432,-78.25,False,high,18,https://store.shopping.yahoo.co.jp/tiger-online/jpv-n100k.html
523,ノジマ,Apple MacBook Air M,マックブック 中古 Apple MacBook 13.3インチ Intel Core i5 -7360 メモリ16GB/SSD256GB シルバ WIFI/Bluetooth/カメラ 新生活 USキーボード,-7360,MacBook,39800,34532,7850,120,,0,7850,800,-28267,-360.09,False,high,120,https://store.shopping.yahoo.co.jp/pc-m/202107021602.html
535,ノジマ,iPad 第10世代,iPad Pro (M5) (M4) 11インチ iPad(A16) 第9世代 Air Pro ケース 防水 ペン収納 第十世代 第8世代 第7 第5 第4 防水ケース 防塵 カバー 衝撃吸収 第6 iPadPro,IPADPRO,iPadケース,5480,3987,58000,120,34490,20,34490,800,26254,76.12,True,high,140,https://store.shopping.yahoo.co.jp/looco-shop/redpipad.html
166,ビックカメラ,SONY α6400,ソニー　SONY　ミラーレス一眼カメラ　α6400 高倍率ズームレンズキット ILCE-6400M ブラック,ILCE-6400M,ミラーレス一眼カメラ,174900,154771,112500,84,132000,18,112500,600,-54121,-48.11,False,high,102,https://store.shopping.yahoo.co.jp/y-kojima/4548736092204.html
170,ビックカメラ,SONY WH-1000XM5,ソニー　SONY　ワイヤレスヘッドホン ノイズキャンセリング対応 リモコン・マイク対応 ブラック　WH-1000XM5BM,WH-1000XM5BM,ヘッドホン本体,54780,47864,24500,33,27500,18,24500,800,-26614,-108.63,False,high,51,https://store.shopping.yahoo.co.jp/y-kojima/4548736132566.html
571,ノジマ,Nintendo Switch 有機EL,ジョイコン Switch 純正 片方 左 右 スイッチ コントローラー ニンテンドースイッチ Joy-Con joycon L or R 選べるカラー 新品 レビュー特典 ラッピング対応,JOY-CON,Nintendo Switch用周辺機器,5280,3809,3325,120,1850,8,1850,800,-2944,-159.14,False,high,128,https://store.shopping.yahoo.co.jp/shkring1008/niswjc1.html
583,ノジマ,Apple Watch SE,アップルウォッチ バンド apple watch ベルト チタン 40mm 41mm 42mm 44mm 45mm 46mm 11 10 9  se ステンレス メンズ ビジネス,APPLE,スマートウォッチアクセサリー,5080,3631,7500,120,5280,15,5280,800,321,6.08,False,high,135,https://store.shopping.yahoo.co.jp/worldwatch/awti.html
595,ノジマ,ダイソン ドライヤー HD,ドライヤー ヘアドライヤー ダイソン 【レビューキャンペーン】 Dyson Supersonic ニッケル／コッパー HD08BNBC お得なシンプルモデル,SUPERSONIC,ヘアドライヤー,36080,31221,19500,120,4350,18,4350,800,-28106,-646.11,False,high,138,https://store.shopping.yahoo.co.jp/dyson/111938-01.html
607,ノジマ,バーミキュラ 炊飯器,バーミキュラ（Vermicular） ライスポット(セット)　トリュフグレー,VERMICULAR,炊飯器本体,95370,83989,17450,120,15400,16,15400,800,-70929,-460.58,False,high,136,https://store.shopping.yahoo.co.jp/ftk-tsutayaelectrics/mcok4589923561189.html
