rank,retailer,query,name,model,category,yahoo_price,net_cost,has_discount,discount_rate,is_clearance,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
6,ビックカメラ,展示品,〔中古〕〔展示品〕 LEDシーリングライト〔キレイに光る全面発光〕〔単色タイプ〕〔昼光色〕〔8畳〕   NLEH08BK1B-DLD ［8畳 ／昼光色 ／リモコン付属］,NLEH08BK1B-DLD,シーリングライト,7678,6388,False,0,True,3444,4,7678,1,3444,800,-4088,-118.71,False,high,5,https://store.shopping.yahoo.co.jp/y-sofmap/2133076507383.html
7,ビックカメラ,展示品,〔中古〕〔展示品〕 スティック型掃除機 TORNEO cordless(トルネオ コードレス) シフォンベージュ VC-CLW33-C ［サイクロン式 ／コードレス ／水拭き非対応］,VC-CLW33-C,掃除機,20878,18136,False,0,True,8416,12,20330,13,8416,800,-11362,-135.0,False,high,25,https://store.shopping.yahoo.co.jp/y-sofmap/2133075502419.html
8,ビックカメラ,展示品,〔中古〕〔展示品〕 温風＋遠赤ヒーター（1200W） ツインヒートプラス  EDBC-SVM121 ［カーボンヒーター・シーズヒーター ／人感センサーなし ／首振り機能］,EDBC-SVM121,電気ストーブ,7348,6095,False,0,True,9500,2,10300,10,9500,800,1655,17.42,True,high,12,https://store.shopping.yahoo.co.jp/y-sofmap/2133072046176.html
9,ビックカメラ,展示品,〔中古〕〔展示品〕 温風＋遠赤ヒーター（1200W） ツインヒートプラス  EDBC-SVM121 ［カーボンヒーター・シーズヒーター ／人感センサーなし ／首振り機能］,EDBC-SVM121,電気ストーブ,7348,6095,False,0,True,9500,2,10300,10,9500,800,1655,17.42,True,high,12,https://store.shopping.yahoo.co.jp/y-sofmap/2133071900714.html
10,ビックカメラ,展示品,〔中古〕〔展示品〕 充電式サイクロンスティッククリーナー　ゴミ収集ドック付　SCDL3PDHC  グレージュ  ［サイクロン式 ／コードレス ／水拭き非対応］,SCDL3PDHC,掃除機,35068,30766,False,0,True,29945,1,35068,6,29945,800,-4616,-15.41,False,high,7,https://store.shopping.yahoo.co.jp/y-sofmap/2133073540840.html
11,ビックカメラ,展示品,〔中古〕〔展示品〕 充電式サイクロンスティッククリーナー　ゴミ収集ドック付　SCDL3PDHC  グレージュ  ［サイクロン式 ／コードレス ／水拭き非対応］,SCDL3PDHC,掃除機,35068,30766,False,0,True,29945,1,35068,6,29945,800,-4616,-15.41,False,high,7,https://store.shopping.yahoo.co.jp/y-sofmap/2133073540772.html
12,ビックカメラ,外箱不良,LG(エルジー) 有機ELテレビ OLED55G5PJB [55V型 /Bluetooth対応 /4K対応 /BS・CS 4Kチューナー内蔵 /YouTube対応]【外箱不良品】 【お届け日時指定不可】,OLED55G5PJB,液晶テレビ、薄型テレビ,269980,239837,False,0,True,220940,2,230000,12,220940,1500,-42491,-19.23,False,high,14,https://store.shopping.yahoo.co.jp/y-sofmap/2000541976022.html
13,ビックカメラ,外箱不良,AQUA ドラム式洗濯乾燥機 ホワイト AQW-DM10R-R(W) [洗濯10.0kg /乾燥5.0kg /ヒートポンプ乾燥 /右開き]【外箱不良品】 【お届け日時指定不可】 [振込不可],AQW-DM10R-R,洗濯機本体,175740,155964,False,0,True,81300,30,89350,16,81300,2500,-85294,-104.91,False,high,46,https://store.shopping.yahoo.co.jp/y-sofmap/2000524327025.html
14,ビックカメラ,外箱不良,AQUA ドラム式洗濯乾燥機 ホワイト AQW-DM10R-L(W) [洗濯10.0kg /乾燥5.0kg /ヒートポンプ乾燥 /左開き]【外箱不良品】 【お届け日時指定不可】 [振込不可],AQW-DM10R-L,洗濯機本体,179980,159737,False,0,True,80500,41,91800,18,80500,2500,-89787,-111.54,False,high,59,https://store.shopping.yahoo.co.jp/y-sofmap/2000524326028.html
15,ビックカメラ,外箱不良,AQUA ドラム式洗濯乾燥機 AQUA ブラック AQW-DX12R-L(K) [洗濯12.0kg /乾燥6.0kg /ヒートポンプ乾燥 /左開き]【外箱不良品】 【お届け日時指定不可】 [振込不可],AQW-DX12R-L,洗濯機本体,189980,168637,False,0,True,82911,20,110000,12,82911,2500,-96517,-116.41,False,high,32,https://store.shopping.yahoo.co.jp/y-sofmap/2000524328022.html
16,ビックカメラ,外箱不良,AQUA ドラム式洗濯乾燥機 AQUA ホワイト AQW-DX12R-L(W) [洗濯12.0kg /乾燥6.0kg /ヒートポンプ乾燥 /左開き]【外箱不良品】 【お届け日時指定不可】 [振込不可],AQW-DX12R-L,洗濯機本体,189980,168637,False,0,True,82911,20,110000,12,82911,2500,-96517,-116.41,False,high,32,https://store.shopping.yahoo.co.jp/y-sofmap/2000524329029.html
17,ビックカメラ,外箱不良,【アウトレット品】 DALI ウーファー サテンブラック SUBE12N/SB [1本]【外箱不良品】 [振込不可],SUBE12N,サブウーハー,101980,90317,False,0,True,75000,1,120698,10,75000,800,-23617,-31.49,False,high,11,https://store.shopping.yahoo.co.jp/y-sofmap/2000398435024.html
18,ビックカメラ,在庫限り,【在庫限り】 ORIGINAL BASIC 双眼鏡 ジオマ HR8×25WP    ［8倍］,ORIGINAL,双眼鏡、オペラグラス,17800,15397,False,0,True,3728,120,2000,19,2000,800,-14397,-719.85,False,high,139,https://store.shopping.yahoo.co.jp/y-sofmap/4955295710140.html
19,ビックカメラ,在庫限り,【在庫限り】 ELPA LEDもてなしライト　HLH-1201-DB ダークブラウン [振込不可],HLH-1201-DB,消火器、消防用品,3880,3008,False,0,True,1999,3,4714,18,1999,800,-2009,-100.5,False,high,21,https://store.shopping.yahoo.co.jp/y-sofmap/4901087197002.html
